le_abbr;le_stand;le_full;le_country;source
SA;SA;Société anonyme;BE;ECB
SA de CV;SA DE CV;Sociedad Anónima de Capital Variable;FR | ...;Wikipedia
SA DPU;SA DPU;Société anonyme de droit public;BE;ECB
SA FS;SA FS;Société anonyme à finalité sociale;BE;ECB
SA LABORAL;SA LABORAL;Sociedad Anónima Laboral;ES;ECB
SA ;SA ;Société anonyme;LU;ECB
SA ;SA ;Sociedade Anónima;PT;ECB
SA ;SA ;Societate pe acţiuni;RO;ECB
SAA;SAA;SOCIETA' IN ACCOMANDITA PER AZIONI;IT;ECB
SAB De CV;SAB DE CV;Sociedad Anónima Bursátil de Capital Variable;FR | ...;Wikipedia
SAD;SAD;Sociedade Anónima Desportiva;PT;ECB
SAL;SAL;Sociedad Anónima Laboral;ES;ECB
SAM DPU;SAM DPU;Association d'assurances mutuelles de droit public;BE;ECB
SARL ;SARL ;Société à responsabilité limitée;LU;ECB
SARLS;SARLS;Société à responsabilité limitée simplifiée;LU;ECB
SAS;SAS;SOCIETA' IN ACCOMANDITA SEMPLICE;IT;ECB
SASPJ;SASPJ;Société ou association sans personnalité juridique;BE;ECB
SAT;SAT;Sociedad agraria de transformación;ES;ECB
SAU;SAU;Sociedad Anónima Unipersonal;ES;ECB
sc;SC;spółki cywilne;PL;ECB
SC;SC;Sociedad colectiva;ES;ECB
SC;SC;Ναυτική εταιρία;GR;ECB
SC;SC;Société civile;LU;ECB
SC SA;SC SA;Société civile sous forme de société anonyme;BE;ECB
SC SAGR;SC SAGR;Société civile sous forme de société agricole;BE;ECB
SC SCA;SC SCA;Société civile sous forme de société en commandite par actions;BE;ECB
SC SCRI;SC SCRI;Société civile sous forme de société coopérative à responsabilité illimitée;BE;ECB
SC SCRL;SC SCRL;Société civile sous forme de société coopérative à responsabilité limitée;BE;ECB
SC SCS;SC SCS;Société civile sous forme de société en commandite simple;BE;ECB
SC SNC;SC SNC;Société civile sous forme de société en nom collectif;BE;ECB
SC SPRL;SC SPRL;Société civile sous forme de société privée à responsabilité limitée;BE;ECB
SCA;SCA;Societate în comandită pe acţiuni;RO;ECB
SCA;SCA;Société en commandite par actions;BE;ECB
SCA FS;SCA FS;Société en commandite par actions à finalité sociale;BE;ECB
SCE;SCE;Societas Cooperativa Europea;-;ECB
SCOP;SCOP;Société coopérative;LU;ECB
SCPI;SCPI;Société civile de placement collectif immobilier;FR;ECB
SCRI;SCRI;Société coopérative à responsabilité illimitée;BE;ECB
