legal_entity_abbr;legal_entity_stan;legal_entity_full;country;source
SAA;SAA;SOCIETA' IN ACCOMANDITA PER AZIONI;IT;
SAB De CV;SAB DE CV;Sociedad Anónima Bursátil de Capital Variable;FR | ...;Wikipedia
SAD;SAD;Sociedade Anónima Desportiva;PT;
SAL;SAL;Sociedad Anónima Laboral;ES;
SAM DPU;SAM DPU;Association d'assurances mutuelles de droit public;BE;
SARL ;SARL ;Société à responsabilité limitée;LU;
SARLS;SARLS;Société à responsabilité limitée simplifiée;LU;
SAS;SAS;SOCIETA' IN ACCOMANDITA SEMPLICE;IT;
SASPJ;SASPJ;Société ou association sans personnalité juridique;BE;
SAT;SAT;Sociedad agraria de transformación;ES;
SAU;SAU;Sociedad Anónima Unipersonal;ES;
sc;SC;spółki cywilne | Sociedad colectiva | Ναυτική εταιρία | Société civile;PL | ES |GR | LU;
SC SA;SC SA;Société civile sous forme de société anonyme;BE;
SC SAGR;SC SAGR;Société civile sous forme de société agricole;BE;
SC SCA;SC SCA;Société civile sous forme de société en commandite par actions;BE;
SC SCRI;SC SCRI;Société civile sous forme de société coopérative à responsabilité illimitée;BE;
SC SCRL;SC SCRL;Société civile sous forme de société coopérative à responsabilité limitée;BE;
SC SCS;SC SCS;Société civile sous forme de société en commandite simple;BE;
SC SNC;SC SNC;Société civile sous forme de société en nom collectif;BE;
SC SPRL;SC SPRL;Société civile sous forme de société privée à responsabilité limitée;BE;
SCA;SCA;Societate în comandită pe acţiuni| Société en commandite par actions;RO | BE;
SCA FS;SCA FS;Société en commandite par actions à finalité sociale;BE;
SCE;SCE;Societas Cooperativa Europea;-;
SCOP;SCOP;Société coopérative;LU;
SCPI;SCPI;Société civile de placement collectif immobilier;FR;
SCRI;SCRI;Société coopérative à responsabilité illimitée;BE;
SCRI CP;SCRI CP;Coopérative à responsabilité illimitée, coopérative de participation, de droit public;BE;
SCRI FS;SCRI FS;Société coopérative à responsabilité illimitée à finalité sociale;BE;
SCRL;SCRL;Société coopérative à responsabilité limitée;BE;
SCRL DPU;SCRL DPU;Société coopérative à responsabilité limitée de droit public;BE;
SCRL FS;SCRL FS;Société coopérative à responsabilité limitée à finalité sociale;BE;
SCS;SCS;Societate în comandită simplă | Société en commandite simple;RO | BE;
SCS FS;SCS FS;Société en commandite simple à finalité sociale;BE | LT;
SD;SD;Sodininkų bendrija| Събирателно дружество;;
SDC;SDC;Société de droit commun;BE;
sdd;SDD;Športsko dioničko društvo;HR;
SDF;SDF;SOCIETA' DI FATTO;IT;
SDIS;SDIS;Service départemental d'incendie et de secours;FR;
SE;SE;Societas Europea;-;
SECA;SECA;Société en commandite par actions;LU;
SECS;SECS;Société en commandite simple;LU;
SECSP;SECSP;Société en commandite speciale;LU;
SEPCAV;SEPCAV;Société d’épargne-pension à capital variable;LU;
SERVFEDE;SERVFEDE;Autre service fédéral;BE;
SF;SF;Σωματεία και Ιδρυμάτα | Société en formation;CY | BE;
SGR;SGR;Sociedad de garantía recíproca;ES;
SI;SI;Savivaldybės įmonė;LT;
SIA;SIA;Sabiedrība ar ierobežotu atbildību;LV;
SICAF;SICAF;Société d'investissement à capital fixe;LU;
SICAR;SICAR;Société d'investissement à capital risque;LU;
SICAV;SICAV;Société d’Investissement à Capital Variable | Société d'investissement à capital variable;MT | LU;
S-ie;S-IE;Съдружие;BG;
SIVOM;SIVOM;Syndicat intercommunal à vocation multiple;FR;
SIVU;SIVU;Syndicat intercommunal à vocation unique;FR;
sj;SJ;spółki jawne;PL;
SKA;SKA;spółki komandytowo - akcyjne;PL;
SL;SL;Sociedad de responsabilidad limitada;ES;
SL LABORAL;SL LABORAL;Sociedad Limitada Laboral;ES;
SLL;SLL;Sociedad Limitada Laboral;ES;
SLNE;SLNE;Sociedad Limitada Nueva Empresa;ES;
SLP;SLP;Αφανής Εταιρεία;GR;
SLU;SLU;Sociedad Limitada Unipersonal;ES;
smba;SMBA;Selskab med begrænset ansvar;DK;
SMC;SMC;Single Member Company;IE;
SNC;SNC;Société en nom collectif | Sociedades em Nome Coletivo | Societate în nume colectiv | Société en nom collectif | SOCIETA' IN NOME COLLETTIVO;LU | PT | RO | BE | IT;
SNC FS;SNC FS;Société en nom collectif à finalité sociale;BE;
SOCI;SOCI;Sociedade Civil;PT;
SON;SON;Stichting van openbaar nut;BE;
SöR;SÖR;Stiftung des öffentlichen Rechts;DE;
