word;replace;Column1
landscapes;landscape;singular/plural
lanes;lane;singular/plural
lasers;laser;singular/plural
laundries;laundry;singular/plural
laws;law;singular/plural
layers;layer;singular/plural
lbs;lb;singular/plural
leaders;leader;singular/plural
leas;lea;singular/plural
leases;lease;singular/plural
leathers;leather;singular/plural
lees;lee;singular/plural
legand;legend;
legends;legend;singular/plural
legs;leg;singular/plural
legumes;legume;singular/plural
leisures;leisure;singular/plural
lenders;lender;singular/plural
less;little;singular/plural
lets;let;singular/plural
levels;level;singular/plural
lifestyles;lifestyle;singular/plural
lights;light;singular/plural
linens;linen;singular/plural
lines;line;singular/plural
linings;lining;singular/plural
links;link;singular/plural
linos;lino;singular/plural
lions;lion;singular/plural
liquidators;liquidator;singular/plural
liquids;liquid;singular/plural
liquors;liquor;singular/plural
loans;loan;singular/plural
locales;locale;singular/plural
locations;location;singular/plural
locums;locum;singular/plural
lodgings;lodging;singular/plural
lofts;loft;singular/plural
logics;logic;singular/plural
logistics;logistic;singular/plural
logos;logo;singular/plural
logs;log;singular/plural
longs;long;singular/plural
lookers;looker;singular/plural
looks;look;singular/plural
lords;lord;singular/plural
lots;lot;singular/plural
lowlands;lowland;singular/plural
lsr;laser;
lubricants;lubricant;singular/plural
lumens;lumen;singular/plural
machines;machine;singular/plural
madeiras;madeira;singular/plural
maestros;maestro;singular/plural
magazines;magazine;singular/plural
magics;magic;singular/plural
magnets;magnet;singular/plural
mains;main;singular/plural
majors;major;singular/plural
makers;maker;singular/plural
malls;mall;singular/plural
mamas;mama;singular/plural
managements;management;singular/plural
managers;manager;singular/plural
manas;mana;singular/plural
mans;man;singular/plural
manufacturers;manufacturer;singular/plural
manufactures;manufacture;singular/plural
marbles;marble;singular/plural
marches;march;singular/plural
mares;mare;singular/plural
marinas;marina;singular/plural
markets;market;singular/plural
marks;mark;singular/plural
martins;martin;singular/plural
marts;mart;singular/plural
masses;mass;singular/plural
masters;master;singular/plural
matches;match;singular/plural
matchmakers;matchmaker;singular/plural
materaial;material;
materials;material;singular/plural
mates;mate;singular/plural
matters;matter;singular/plural
maturities;maturity;singular/plural
maxs;max;singular/plural
