occurance;type;le_name;le_stand;source
End;abbr;guhsz;GUHSZ;ECB
End;full;gesellschaften oder vereinigungen ohne rechtspersönlichkeit;GVORP;ECB
End;abbr;gvorp;GVORP;ECB
End;full;handelsbolag, kommanditbolag;HB, KB;ECB
End;abbr;hb, kb;HB, KB;ECB
End;full;helseforetak;HF;OWN
End;abbr;hf;HF;OWN
End;full;hulpverleningszone;HVZ;ECB
End;abbr;hvz;HVZ;ECB
End;abbr;ic;IC;ECB
End;full;intercommunale;IC;ECB
End;full;individuali įmonė;II;ECB
End;abbr;ik;IK;ECB
End;full;individuālais komersants;IK;ECB
End;full;interkommunale;IK;ECB
End;abbr;ike;IKE;ECB
End;abbr;inc;INC;Own
End;full;incorporated;INC;OWN
End;full;INCORPORATION;INC;OWN
End;abbr;ind;IND;ECB
End;full;individuālais uzņēmums;IND;ECB
End;abbr;invag;INVAG;ECB
End;abbr;invco;INVCO;ECB
End;full;institution sans but lucratif;ISBL;ECB
End;abbr;isbl;ISBL;ECB
End;full;internationale vereinigung ohne gewinnerzielungsabsicht;IVOG;ECB
End;abbr;ivog;IVOG;ECB
End;full;iværksætterselskab;IVS;ECB
End;abbr;ivs;IVS;ECB
End;full;internationale vereniging zonder winstoogmerk;IVZW;ECB
End;abbr;ivzw;IVZW;ECB
End;full;instelling zonder winstoogmerk;IZW;ECB
End;abbr;izw;IZW;ECB
End;abbr;jdoo;JDOO;ECB
End;full;jednostavno društvo s ograničenom odgovornošću;JDOO;ECB
End;abbr;jpahr;JPAHR;ECB
End;full;juristische person alten hamburgischen rechts;JPAHR;ECB
End;full;joint stock co;JSC;OWN
End;full;joint stock company;JSC;OWN
End;abbr;jsc;JSC;OWN
End;abbr;JSTCORP;JSC;OWN
End;abbr;jso;JSO;ECB
End;full;javno trgovačko društvo;JTD;ECB
End;abbr;jtd;JTD;ECB
End;abbr;jv;JV;ECB
End;abbr;k s;K S;ECB
End;full;komanditná spoločnosť;K S;ECB
End;abbr;kankenka;KANKENKA;ECB
End;full;krankenkasse;KANKENKA;ECB
End;abbr;kb;KB;ECB
End;full;kooperatīvā sabiedrība;KB;ECB
End;abbr;kbs;KBS;ECB
End;full;kooperatīvo biedrību savienība;KBS;ECB
End;abbr;kbu;KBU;ECB
End;full;kooperatīvo biedrību uzņēmums;KBU;ECB
End;abbr;kd;KD;ECB
End;full;komanditna družba;KD;ECB
End;full;komanditno društvo;KD;ECB
End;abbr;kda;KDA;ECB
End;abbr;kdd;KDD;ECB
End;full;komanditna delniška družba;KDD;ECB
End;abbr;kft;KFT;ECB
End;full;korlátolt felelosségu társaság;KFT;ECB
End;abbr;kg;KG;ECB
End;full;kommanditgesellschaft;KG;ECB
End;abbr;kgaa;KGAA;ECB
End;full;kommanditgesellschaft auf aktien;KGAA;ECB
End;abbr;kgaamsz;KGAAMSZ;ECB
End;full;kommanditgesellschaft auf aktien mit sozialer zielsetzung;KGAAMSZ;ECB
End;abbr;kht;KHT;ECB
End;full;közhasznú társaság;KHT;ECB
End;full;kabushiki gaisha;KK;OWN
End;full;kabushiki kaisha;KK;OWN
End;abbr;kk;KK;OWN
End;abbr;kkt;KKT;ECB
End;full;közkereseti társaság;KKT;ECB
End;abbr;ko;KO;ECB
End;full;kooperatinė bendrovė;KO;ECB
End;abbr;kör;KÖR;ECB
End;full;körperschaft des öffentlichen rechts;KÖR;ECB
End;full;komandītsabiedrība;KS;ECB
End;abbr;ks;KS;ECB
End;full;společnost komanditní;KS;ECB
End;abbr;ksc;KSC;OWN
End;abbr;kscc;KSCC;OWN
End;abbr;kscp;KSCP;OWN
End;full;kuwaiti joint stock company;KSCP;OWN
End;full;kooperatīvo biedrību savienības uzņēmums;KSS;ECB
End;abbr;kss;KSS;ECB
End;full;komanditinė ūkinė bendrija;KUB;ECB
End;abbr;kub;KUB;ECB
End;full;kommandiittiyhtiö;KY;ECB
End;abbr;ky;KY;ECB
End;abbr;lda;LDA;ECB
End;full;sociedade por quotas;LDA;ECB
End;full;labdaros ir paramos fondas;LF;ECB
