acronym;term;origin
url;uniform resource locator;termlist
usp;unique selling point;termlist
usp;unique selling proposition;termlist
usp;unit sales price;termlist
un;united nations;termlist
u.s;United States;termlist
us;united states;termlist
ust;united states treasury;termlist
ubit;unrelated business income tax;termlist
clut;UNKNOWN;termlist
emb;UNKNOWN;termlist
rtr;UNKNOWN;termlist
rtu;UNKNOWN;termlist
tmt;UNKNOWN;termlist
vbpp;UNKNOWN;termlist
usp;usage sensitive pricing;termlist
vad;value of annual demand;termlist
voba;value of business acquired;termlist
vif;value of in-force;termlist
vad;value-added data;termlist
vad;value-added dealer;termlist
vad;value-added distributor;termlist
var;value-added reseller;termlist
vat;value-added tax;termlist
var;value-at-risk;termlist
vie;variable interest entity;termlist
vmi;vendor managed inventory;termlist
vc;venture capital;termlist
vs.;versus;termlist
veba;voluntary employees benefits association;termlist
wacc;weighted-average cost of capital;termlist
wlc;whole life costing;termlist
wub;winding-up body;termlist
wip;work-in-process;termlist
yag;year at a glance;termlist
ytd;year-to-date;termlist
ytc;yield to call;termlist
ytm;yield to maturity;termlist
zbb;zero based budgeting;termlist
oa;UNKNOWN;termlist
dc;defined contribution;termlist
cm;contribution margin;termlist
ecb;european central bank;termlist
eib;NONE;termlist
vio;NONE;termlist
s&p;standard and poors;termlist
gbp;NONE;termlist
drg;NONE;termlist
fico;NONE;termlist
fras;forward rate agreements;termlist
ecus;NONE;termlist
cb/d;NONE;termlist
frsse;NONE;termlist
otrls;NONE;termlist
otti;NONE;termlist
umts;NONE;termlist
levfin;leveraged finance;termlist
munis;NONE;termlist
nzica;New Zealand Institute of Chartered Accountants;termlist
nzias;New Zealand International Accounting Standards;termlist
picpa;Pennsylvania Institute of Certified Public Accountants;termlist
reparis;Road to Europe Program of Accounting Reform and Institutional Strengthening;termlist
tefra;Tax Equity and Fiscal Responsibility Act;termlist
umifa;Uniform Prudent Management of Institutional Funds Act;termlist
upmifa;Uniform Prudent Management of Institutional Funds Act;termlist
nug;UNKNOWN;termlist
inbr;Ventureline;termlist
traic;trading result after interest and commission;termlist
prox;proximo;termlist
erisa;Employee Retirement Income Security Act;termlist
entrec;accounting entries message;termlist
infent;enterprise accounting information message;termlist
strgl;NONE;termlist
fhl;dfederal home loan;termlist
demat;dematerialization;termlist
geog;NONE;termlist
crj;NONE;termlist
1HY;First Half-Year;abbreviations.com
1QTRA;First Quarter Analysis;abbreviations.com
21 MFI;Payment due on the 21st of the Month Following Invoice date;abbreviations.com
350K;Three hundred and fifty thousand;abbreviations.com
3RB;Risky and Revenue Recognition Board;abbreviations.com
4EA;For Enterprise Administrator;abbreviations.com
90DSAC;Ninety Days, Same As Cash;abbreviations.com
A;Accepted;abbreviations.com
A&AR;Accounting and Auditing Releases;abbreviations.com
A/C;Account Current;abbreviations.com
A/C;Account;abbreviations.com
A/P;Accounts Payable;abbreviations.com
A/R;Accounts Receivable;abbreviations.com
AA;Active Page;abbreviations.com
AAA;Accumulated Adjustments Account;abbreviations.com
AAA;American Accounting Association;abbreviations.com
AAA;Association of Accounting Administrators;abbreviations.com
AAA;Authentication, Authorization, and Accounting;abbreviations.com
AAA;Authentication Authorization and Accounting;abbreviations.com
AAA;Authentication Authorization Accounting;abbreviations.com
AAA-CPA;American Association of Attorney- Certified Public Accountants;abbreviations.com
AAAA;Asian Academic Accounting Association;abbreviations.com
AAAC;Average Actual Acquisition Cost;abbreviations.com
AAAJ;Accounting, Auditing & Accountability Journal;abbreviations.com
AAAP;Associate of the Association of Accountancy Practitioners;abbreviations.com
AAARS;Association of Accountants and Auditors of Republic of Srpska;abbreviations.com
AAARS;Association of Accountants and Auditors Republika Srpska;abbreviations.com
AAATP;American Academy of Accounting Tax Professionals;abbreviations.com
AABA;Association for Accountancy & Business Affairs;abbreviations.com
AAC;Audit and Assurance Council;abbreviations.com
AACA;Association of Chartered Certified Accountants;abbreviations.com
AACB;Associate of the Association of Certified Book-Keepers;abbreviations.com
AACE;Audit Analysis Computer Environment;abbreviations.com
AACSB;American Assembly of Collegiate Schools of Business;abbreviations.com
AACTS;Arthur Andersen Corporate Technology Solutions;abbreviations.com
AADA;Adjusted Attributable Deposit Amount;abbreviations.com
AADS;Account Authority Digital Signature;abbreviations.com
AAFA;American Association of Finance and Accounting;abbreviations.com
AAFA;American Association of Finance Accounting;abbreviations.com
AAFI;Associated Accounting Firms International;abbreviations.com
AAFP;Accounting And Finance Professionals;abbreviations.com
AAG;Audit and Accounting Guides;abbreviations.com
AAG;Associate Auditors Group;abbreviations.com
AAG;Associate Auditor Groups;abbreviations.com
AAGR;Annual Average Growth Rate;abbreviations.com
AAH;Academy of Accounting Historians;abbreviations.com
AAHCPA;American Association of Hispanic Certified Public Accountants;abbreviations.com
AAI;Automatic Accounting Instructions;abbreviations.com
AAIA;Association of Airport Internal Auditors;abbreviations.com
AAIA;Associate of the Association of International Accountants;abbreviations.com
AAIC;Accounting Authority Identification Code;abbreviations.com
AALC;Accountants and Actuaries Liaison Committee;abbreviations.com
AALPFA;Associate of the Association of Latino Professionals in Finance and Accounting;abbreviations.com
AAM;Association of Accounting Marketing;abbreviations.com
AAMPS;Amtrak Accounting Materials and Purchasing System;abbreviations.com
AAMS;Automated Accounts Management Services;abbreviations.com
AAMS;Accredited Asset Management Specialist;abbreviations.com
AAN;Accounting Audit Notation;abbreviations.com
AAOB;Auditing Accounting Oversight Board;abbreviations.com
AAOC;Americas Account Opening Center;abbreviations.com
AAOIFI;Accounting and Auditing Organisation for Islamic Financial Institutions;abbreviations.com
AAP;Association of Accountancy Practitioners;abbreviations.com
AAP;Accruals Accounting Project;abbreviations.com
AAPA;Association of Authorised Public Accountants;abbreviations.com
AAPA;Associate of the Association of Authorised Public Accountants;abbreviations.com
AAPCC;Adjusted Average Per Capita Cost;abbreviations.com
AAPR;Annualized Average Percentage Rate;abbreviations.com
AARF;Australian Accounting Research Foundation;abbreviations.com
AARG;Accounting and Auditing Research Group;abbreviations.com
AAS;Australian Accounting Standard;abbreviations.com
AAS;Automated Accounting System;abbreviations.com
AASB;Australian Accounting Standards Board;abbreviations.com
AASB;Auditing and Assurance Standards Board;abbreviations.com
AASD;Accountability And Accountancy Services Division;abbreviations.com
AASMB;Accounting and Auditing Standards Monitoring Board;abbreviations.com
AASOC;Auditing and Assurance Standards Oversight Council;abbreviations.com
AAT;Association of Accounting Technicians;abbreviations.com
AATD;Australian Accounting Taxation Database;abbreviations.com
AATD;Australian Accounting and Taxation Database;abbreviations.com
AATD;Alternative Amount of Tender Deposit;abbreviations.com
AB3C;Auditing Board of the Central Chamber of Commerce of Finland;abbreviations.com
ABA;Assurance and Business Audit;abbreviations.com
ABAF;Association of British Accountants in France;abbreviations.com
ABAS;Assurance & Business Advisory Services;abbreviations.com
ABASA;Association for the Advancement of Black Accountants of South Africa;abbreviations.com
ABB;Activity-Based Budget;abbreviations.com
ABBR;Annual Benefits Base Rate;abbreviations.com
ABBRR;Annual Building Block Revenue Requirement;abbreviations.com
ABC;Accountability Basics and Control;abbreviations.com
ABC;Analyze, Bill, and Control;abbreviations.com
